                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                 1.6851,                0.91883,                0.92166,                0.91814,                0.84466,                0.89343,                0.45558,                 1.7313,                0.88596,                0.91201,                0.00604,                0.00604,                0.00604
                    123,                 1.6884,                0.91494,                0.91644,                0.93888,                0.82736,                0.89183,                0.45978,                  1.693,                0.89885,                0.91106,               0.006007,               0.006007,               0.006007
                    124,                 1.7096,                 0.9278,                0.92822,                0.92282,                0.83441,                0.88882,                0.46264,                 1.7097,                0.86544,                0.91469,               0.005974,               0.005974,               0.005974
                    125,                 1.6673,                0.88547,                0.92197,                 0.9126,                0.83518,                0.88367,                0.46493,                 1.6911,                0.88915,                0.91381,               0.005941,               0.005941,               0.005941
                    126,                 1.6753,                0.91324,                0.92768,                0.90702,                0.84733,                0.88284,                0.46762,                 1.7023,                0.88554,                0.91764,               0.005908,               0.005908,               0.005908
                    127,                 1.6539,                0.91632,                0.91781,                0.88962,                0.87752,                0.90067,                0.47107,                 1.6994,                0.86804,                0.91198,               0.005875,               0.005875,               0.005875
                    128,                 1.6501,                0.90284,                0.91721,                0.90671,                0.85982,                0.89335,                0.47963,                 1.7134,                0.87707,                0.91166,               0.005842,               0.005842,               0.005842
                    129,                  1.676,                0.89504,                0.92683,                0.90537,                0.87257,                0.89841,                0.48223,                 1.7072,                0.86209,                0.91078,               0.005809,               0.005809,               0.005809
                    130,                 1.6485,                0.87029,                0.91092,                0.91486,                0.85265,                0.90152,                0.48477,                 1.7238,                0.84699,                0.91101,               0.005776,               0.005776,               0.005776
                    131,                 1.6538,                0.90875,                0.91067,                0.92401,                0.84211,                0.89221,                 0.4612,                   1.75,                0.90233,                0.91023,               0.005743,               0.005743,               0.005743
                    132,                 1.6535,                0.91018,                0.91389,                0.91389,                0.89749,                0.92541,                0.49233,                 1.6795,                0.83808,                 0.9017,                0.00571,                0.00571,                0.00571
                    133,                 1.6568,                0.89281,                0.91107,                0.94151,                0.83218,                0.90151,                0.47429,                 1.6896,                0.89076,                0.90648,               0.005677,               0.005677,               0.005677
                    134,                  1.651,                0.88543,                0.91652,                0.91813,                0.87119,                0.91077,                0.46037,                 1.7322,                0.87565,                 0.9117,               0.005644,               0.005644,               0.005644
                    135,                 1.6429,                0.87657,                0.90481,                0.88807,                0.87608,                0.90321,                0.47633,                 1.7201,                0.88208,                 0.9079,               0.005611,               0.005611,               0.005611
